id,name,description,type,rating,address1,address2,pincode,city,state,latitude,longitude,url
1679502698629,Moti Mahal Restaurant,North Indian restaurant,0,3.9,Gazdar Apartments### 208### Opposite Andheri Railway Station### Next to Time Chambers### , Swami Vivekananda Rd### Andheri West,400058, Mumbai,Maharashtra,19.1203548,72.8337967,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679502698629%2Fmoti%20mahal.jpg?alt=media&token=2411eb43-c6bd-42c3-b06a-f0344318aaa3
1679502989332,Joey’s Pizza,Pizza restaurant,0,4.4,Upvan Building### Shop No. 6 & 7### Metro Station### near D.N.Nagar### Madhuban Colony,D.N.Nagar### Andheri West,400053, Mumbai,Maharashtra,19.1266345,72.8023921,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679502989332%2Fjoey's%20pizza.png?alt=media&token=7c789da8-ca8f-4ca9-b143-03e7982a57eb
1679504196457,Rama Krishna Restaurant,South Indian restaurant,0,4.2,148### Nehru Rd### Navpada, Vile Parle East,400057, Mumbai,Maharashtra,19.1059235,72.8286157,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679504196457%2Fram%20krishna.png?alt=media&token=d21224ad-1dac-47c8-9dd4-ba8ec6885abd
1679634584060,Lume Restaurant And Bar,,0,3.8,Parsi Colony, Bima Nagar### Andheri East,400069, Mumbai,Maharashtra,19.1157253,72.8515012,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679634584060%2Flume%20restaurant.png?alt=media&token=74eb229e-ceec-4c2e-b0c4-34d50893e890
1679928329354,Food Swing,Unpretentious eatery offering up fast food like burgers & rolls in a laid-back environment.,2,4.7,Kum Kum b5### opposite vishall hall,Sanitorium lane### Andheri - Kurla Rd,400069, Mumbai,Maharashtra,19.1216486,72.85296271,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679928329354%2Ffood%20swing.png?alt=media&token=0f924292-dcd5-41f3-b71b-2b05a49b7e14
1679928837108,Vaibhav Cafe,South Indian restaurant,0,4,Ground Floor### Syndicate Chamber### ,opp. Sahar Road### Railway Colony### Andheri East,400069, Mumbai,Maharashtra,19.1176888,72.7163662,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679928837108%2Fvaibhav-restaurant.jpg?alt=media&token=9e1766ce-85bd-4841-9880-e7d2c7ee0d8f
1679977455746,THE PUNJABI'S KITCHEN,North Indian restaurant .Classic### unpretentious eatery serving Chinese & North Indian dishes in an airy dining room.,2,4.3,HARGOBIND JI### FIRST FLOOR ###SANJAY APPA CHAMBERS,CHARAT SINGH COLONY### MARG ROAD,400093, Mumbai,Maharashtra,19.1160302,72.8594033,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679977455746%2Fthe-punjabi-s-kitchen.jpg?alt=media&token=ea61741b-e80f-4432-8bff-eb8b5cecdbf0
1679979893426,Amar Fast Food And Juice Center,Fast food restaurant,0,3.9,Sahar Airport Rd### Akal Society### Kanti Nagar,J B Nagar### Andheri East,400059, Mumbai,Maharashtra,19.1079751,72.855086,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679979893426%2Famar%20fast%20food.jpg?alt=media&token=969cc433-7f98-440a-896e-611b30e8e92c
1679980561220,Mandarin Oak Mahakali,Chinese restaurant,1,4.1,Gala No. 20### Madhuban Industrial Estate### ### near Holly Cross School,Mahakali Caves Rd###Andheri East,400093, Mumbai,Maharashtra,19.119501,72.8499073,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679980561220%2Fmandarian%20oak.png?alt=media&token=e9635f48-7c0f-47b9-8619-5c268e38fc0d
1679982443122,Rendezvous,Asian restaurant,0,3.8,Hotel Residency### 213### Suren Road### Chakala, Gundapali East### Andheri Eas,400053, Mumbai,Maharashtra,19.1159572,72.8397202,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679982443122%2Frendezvous%20restaurant.jpg?alt=media&token=80ead395-fefd-4cba-a674-faeaa16a2854
